RowNumber,Census,plot,Age.init,Age,Tag,Área de muestreo,SubTrans,Transecto,Categoría,Especie,sup,h1,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB max,DB min,Num tallos total,Número de tallos muertos,AB soto (cm2/1ha),AB soto (cm2/32m2),Densidad soto 1ha,Densidad soto sitio (32m2),Regen,LF,Observaciones,X,Y,
CR_2_D_2007_462,2007,2,23,27,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,2.22,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,1,0,0.0668202031,2.1382464998,312.5,1,S,T,,3.87,3.3,
CR_2_D_2007_517,2007,2,23,27,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1,0,0.079521564,2.5446900494,312.5,1,S,T,,14.41,4.21,
CR_2_D_2007_573,2007,2,23,27,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.91,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,1,0,0.0039269908,0.1256637061,312.5,1,S,T,,14.2,3.21,
CR_2_D_2007_575,2007,2,23,27,214,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.71,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.36,1,0,0.0031808626,0.101787602,312.5,1,S,T,,14.38,3.42,
CR_2_D_2007_617,2007,2,23,27,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,R,T,,11.33,1.9,
CR_2_D_2008_624,2008,2,23,28,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,2.5,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,1,0,0.0668202031,2.1382464998,312.5,1,S,T,,3.87,3.3,
CR_2_D_2008_688,2008,2,23,28,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1,0,0.079521564,2.5446900494,312.5,1,S,T,,14.41,4.21,
CR_2_D_2008_745,2008,2,23,28,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.93,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,1,0,0.0134401261,0.4300840343,312.5,1,S,T,,14.2,3.21,
CR_2_D_2008_747,2008,2,23,28,214,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.74,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,1,0,0.0039269908,0.1256637061,312.5,1,S,T,,14.38,3.42,
CR_2_D_2008_789,2008,2,23,28,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_2_D_2009_798,2009,2,23,29,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,3.12,1.65,,,,,,,,,,,,,,,,,,,,,,,,1.65,1.65,1,0,0.0668202031,2.1382464998,312.5,1,S,T,,3.87,3.3,
CR_2_D_2009_862,2009,2,23,29,137,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,2.23,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.0981747704,3.1415926536,312.5,1,S,T,,14.41,4.21,
CR_2_D_2009_919,2009,2,23,29,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.27,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,1,0,0.0134401261,0.4300840343,312.5,1,S,T,,14.2,3.21,
CR_2_D_2009_921,2009,2,23,29,214,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.38,3.42,
CR_2_D_2009_963,2009,2,23,29,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_2_D_2010_990,2010,2,23,30,6,32,D,3,<1,Mimosa acantholoba var. eurycarpa,1,2.8,1.93,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.93,1,0,0.0914228006,2.9255296188,312.5,1,S,T,,3.87,3.3,
CR_2_D_2010_1053,2010,2,23,30,137,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.41,4.21,
CR_2_D_2010_1110,2010,2,23,30,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.29,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,1,0,0.0134401261,0.4300840343,312.5,1,S,T,,14.2,3.21,
CR_2_D_2010_1112,2010,2,23,30,214,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.38,3.42,
CR_2_D_2010_1154,2010,2,23,30,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_2_D_2011_1184,2011,2,23,31,6,,D,3,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,3.87,3.3,
CR_2_D_2011_1244,2011,2,23,31,137,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.41,4.21,
CR_2_D_2011_1299,2011,2,23,31,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.25,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,1,0,0.0134401261,0.4300840343,312.5,1,S,T,,14.2,3.21,
CR_2_D_2011_1301,2011,2,23,31,214,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.38,3.42,
CR_2_D_2011_1343,2011,2,23,31,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_2_D_2012_1373,2012,2,23,32,6,,D,3,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,3.87,3.3,
CR_2_D_2012_1434,2012,2,23,32,137,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.41,4.21,
CR_2_D_2012_1489,2012,2,23,32,212,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1,0.74,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.74,1,0,0.0134401261,0.4300840343,312.5,1,S,T,muerta de la punta. Casi sin hojas,14.2,3.21,
CR_2_D_2012_1491,2012,2,23,32,214,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.38,3.42,
CR_2_D_2012_1533,2012,2,23,32,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_2_D_2013_1573,2013,2,23,33,6,,D,3,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,3.87,3.3,
CR_2_D_2013_1634,2013,2,23,33,137,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.41,4.21,
CR_2_D_2013_1689,2013,2,23,33,212,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.2,3.21,
CR_2_D_2013_1691,2013,2,23,33,214,,D,6,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,14.38,3.42,
CR_2_D_2013_1733,2013,2,23,33,263,,D,5,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,11.33,1.9,
CR_8_D_2004_311,2004,8,0,1,75,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,1.15,1.56,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.56,1,0,0.0597295303,1.9113449704,312.5,1,R,T,cubierta por tragia,16.06,3.65,
CR_8_D_2004_388,2004,8,0,1,152,32,D,5,<1,Mimosa acantholoba var. eurycarpa,1,1.26,1.8,1.52,1.76,,,,,,,,,,,,,,,,,,,,,,1.8,1.52,3,0,0.2122538537,6.7921233171,312.5,1,S,T,,8.8,4.88,
CR_8_D_2004_465,2004,8,0,1,230,32,D,7,<1,Mimosa acantholoba var. eurycarpa,1,1.74,2.17,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.17,1,0,0.1155737941,3.6983614116,312.5,1,S,T,,4.03,3.32,
CR_8_D_2004_492,2004,8,0,1,260,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.68,0.59,0.86,0.62,,,,,,,,,,,,,,,,,,,,,,0.86,0.59,3,0,0.0361307699,1.1561846363,312.5,1,R,T,Reb de tocon chico,16.89,4.3,
CR_8_D_2004_508,2004,8,0,1,281,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.64,0.37,0.24,0.27,,,,,,,,,,,,,,,,,,,,,,0.37,0.24,3,0,0.0065629834,0.2100154689,312.5,1,R,T,varios tallos desde base. es un root sucker,16.24,3.5,
CR_8_D_2004_547,2004,8,0,1,331,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,0.99,1.48,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.48,1,0,0.0537605043,1.7203361371,312.5,1,S,T,,18.65,1.43,
CR_8_D_2004_558,2004,8,0,1,N64,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.85,1.04,0.78,,,,,,,,,,,,,,,,,,,,,,,1.04,0.78,2,0,0.0414788405,1.3273228961,312.5,1,S,T,Era 264,16,3.65,
CR_8_D_2005_633,2005,8,0,2,75,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,1.1,0.7,0.79,0,,,,,,,,,,,,,,,,,,,,,,0.79,0,3,1,0.0273441279,0.8750120938,312.5,1,R,T,ram ant mts c/reb,16.06,3.65,
CR_8_D_2005_710,2005,8,0,2,152,32,D,5,<1,Mimosa acantholoba var. eurycarpa,1,1.86,2.71,2.47,2.71,,,,,,,,,,,,,,,,,,,,,,2.71,2.47,3,0,0.51024128,16.3277209587,312.5,1,S,T,,8.8,4.88,
CR_8_D_2005_787,2005,8,0,2,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,S,T,mta en pie. dap mto de2.17,4.03,3.32,
CR_8_D_2005_814,2005,8,0,2,260,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.53,0.29,0.36,0.29,0.31,0.34,0.45,0.35,0.31,0.8,1,,,,,,,,,,,,,,,1,0.29,10,0,0.0630920162,2.0189445188,312.5,1,R,T,0.76[alt].[diam..89..70.58ram ant mts c/reb bas,16.89,4.3,
CR_8_D_2005_869,2005,8,0,2,331,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.4,1.47,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.47,1,0,0.0530364654,1.6971668913,312.5,1,S,T,,18.65,1.43,
CR_8_D_2005_896,2005,8,0,2,N64,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.8,0.52,0.37,,,,,,,,,,,,,,,,,,,,,,,0.52,0.37,2,0,0.009996646,0.319892672,312.5,1,S,T,ram ant mta,16,3.65,
CR_8_D_2006_971,2006,8,0,3,75,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,1.34,854,1038,0.55,0,,,,,,,,,,,,,,,,,,,,,1038,0,4,1,0.0517690291,1.6566089301,312.5,1,R,T,ram ant mts c/reb,16.06,3.65,
CR_8_D_2006_1125,2006,8,0,3,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,S,T,mta en pie,4.03,3.32,
CR_8_D_2006_1152,2006,8,0,3,260,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,1.03,602,404,551,668,303,307,247,648,521,488,1.5,1,,,,,,,,,,,,,1.5,247,12,0,0.1399481598,4.4783411131,312.5,1,R,T,2 dap nuev,16.89,4.3,
CR_8_D_2006_1168,2006,8,0,3,281,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.57,314,,,,,,,,,,,,,,,,,,,,,,,,314,314,1,0,0.0024199099,0.0774371173,312.5,1,R,T,ram ant mta reb,16.24,3.5,
CR_8_D_2006_1207,2006,8,0,3,331,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.4,1568,,,,,,,,,,,,,,,,,,,,,,,,1568,1568,1,0,0.0603437117,1.9309987741,312.5,1,S,T,Revisar si pertenece o no al dosel,18.65,1.43,
CR_8_D_2006_1223,2006,8,0,3,512,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.72,1.97,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.97,1,0,0.0952516166,3.0480517323,312.5,1,s,T,,13.37,0.63,
CR_8_D_2006_1224,2006,8,0,3,513,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.3,714,1192,1445,1823,,,,,,,,,,,,,,,,,,,,,1823,714,4,0,0.1802001347,5.7664043112,312.5,1,r,T,Revisar si pertenece o no al dosel,13.21,1.11,
CR_8_D_2006_1271,2006,8,0,3,N64,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.9,565,0.63,616,,,,,,,,,,,,,,,,,,,,,,0.63,565,3,0,0.0268896033,0.8604673053,312.5,1,S,T,1 dap mto,16,3.65,
CR_8_D_2007_1500,2007,8,0,4,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,S,T,,4.03,3.32,
CR_8_D_2007_1543,2007,8,0,4,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,R,T,,16.24,3.5,
CR_8_D_2007_1582,2007,8,0,4,331,32,D,6,<1,Mimosa acantholoba var. eurycarpa,1,1.93,2419,,,,,,,,,,,,,,,,,,,,,,,,2419,2419,1,0,0.1436189145,4.5958052624,312.5,1,S,T,ya c 1 cm dap?,18.65,1.43,
CR_8_D_2008_1879,2008,8,0,5,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2008_1922,2008,8,0,5,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2008_1977,2008,8,0,5,512,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.02,8.6,1.93,,,,,,,,,,,,,,,,,,,,,,,8.6,1.93,2,0,1.9066743057,61.0135777837,312.5,1,,T,,13.37,0.63,
CR_8_D_2009_2050,2009,8,0,6,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2009_2074,2009,8,0,6,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2010_2166,2010,8,0,7,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2010_2190,2010,8,0,7,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2011_2302,2011,8,0,8,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2011_2326,2011,8,0,8,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2012_2428,2012,8,0,9,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2012_2452,2012,8,0,9,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2013_2572,2013,8,0,10,230,,D,7,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,4.03,3.32,
CR_8_D_2013_2596,2013,8,0,10,281,,D,4,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,16.24,3.5,
CR_8_D_2003_74,2003,8.1,0,0,75,32,D,4,<1,Mimosa acantholoba var. eurycarpa,1,0.92,0.85,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.85,1,0,0.0177328179,0.5674501731,312.5,1,R,T,,16.06,3.65,
CR_8_D_2003_151,2003,8.1,0,0,152,32,D,5,<1,Mimosa acantholoba var. eurycarpa,1,0.67,0.63,0.65,,,,,,,,,,,,,,,,,,,,,,,0.65,0.63,2,0,0.0201111017,0.6435552551,312.5,1,S,T,ramificada bajo el suelo,8.8,4.88,
CR_8_D_2003_228,2003,8.1,0,0,230,32,D,7,<1,Mimosa acantholoba var. eurycarpa,1,0.96,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.89,1,0,0.0194410589,0.6221138852,312.5,1,S,T,un solo tallo. doblada por hipomoea nil,4.03,3.32,
CR_12_D_2003_14,2003,12,9,9,20,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.69,0.91,0.87,,,,,,,,,,,,,,,,,,,,,,,0.91,0.87,2,0,0.0389017528,1.244856089,312.5,1,R,T,c/ varios tallos desde la base. varios mtos,13.1,0.29,
CR_12_D_2004_76,2004,12,9,10,20,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,2.07,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,1.07,1.07,2,0,0.0562001473,1.7984047145,312.5,1,R,T,Los tallos gdes son de rebrote,13.1,0.29,
CR_12_D_2005_170,2005,12,9,11,20,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,2.2,1.2,1.3,0.56,0.81,,,,,,,,,,,,,,,,,,,,,1.3,0.56,4,0,0.1006217766,3.2198968505,312.5,1,R,T,2 diam ant mtos,13.1,0.29,
CR_12_D_2006_273,2006,12,9,12,20,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,2.2,1154,1065,,,,,,,,,,,,,,,,,,,,,,,1154,1065,2,0,0.0605232979,1.9367455324,312.5,1,R,T,,13.1,0.29,
CR_12_D_2007_395,2007,12,9,13,20,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,2.47,1.09,1.23,,,,,,,,,,,,,,,,,,,,,,,1.23,1.09,2,0,0.0662925137,2.1213604393,312.5,1,R,T,,13.1,0.29,
CR_12_D_2008_522,2008,12,9,14,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_12_D_2009_648,2009,12,9,15,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_12_D_2010_785,2010,12,9,16,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_12_D_2011_927,2011,12,9,17,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_12_D_2012_1071,2012,12,9,18,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_12_D_2013_1221,2013,12,9,19,20,,D,2,<1,Mimosa acantholoba var. eurycarpa,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,T,,13.1,0.29,
CR_14_D_2003_2,2003,14,1,1,2,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,0.63,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,2,0,0.0044178647,0.1413716694,312.5,1,S,T,ramif. desde suelo,3.36,3.07,
CR_14_D_2003_3,2003,14,1,1,3,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,0.53,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,1,0,0.0088357293,0.2827433388,312.5,1,R,T,,3.6,3.48,
CR_14_D_2003_6,2003,14,1,1,6,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,0.76,0.8,0.78,0.55,,,,,,,,,,,,,,,,,,,,,,0.8,0.55,3,0,0.0380648129,1.2180740116,312.5,1,R,T,,3.71,3.19,
CR_14_D_2003_7,2003,14,1,1,7,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,0.44,0.49,0.35,,,,,,,,,,,,,,,,,,,,,,,0.49,0.35,2,0,0.0088995429,0.284785374,312.5,1,S,T,ramif. desde suelo,3.84,3.15,
CR_14_D_2003_8,2003,14,1,1,8,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,0.73,0.56,0.55,0.64,,,,,,,,,,,,,,,,,,,,,,0.64,0.55,3,0,0.0251744655,0.8055828962,312.5,1,R,T,ramif. desde suelo,3.84,3.34,
CR_14_D_2003_26,2003,14,1,1,30,32,D,1,<1,Mimosa acantholoba var. eurycarpa,1,1.22,1.1,1.3,1.6,0.79,,,,,,,,,,,,,,,,,,,,,1.6,0.79,4,0,0.1493262802,4.7784409659,312.5,1,S,T,,3.4,4.88,
CR_14_D_2003_38,2003,14,1,1,53,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,0.75,0.81,0.3,,,,,,,,,,,,,,,,,,,,,,,0.81,0.3,2,0,0.0183120491,0.5859855697,312.5,1,S,T,2 tallos ramificados por debajo del suelo,14.26,3.17,
CR_14_D_2003_39,2003,14,1,1,54,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,0.85,0.59,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,1,0,0.0085436594,0.2733971007,312.5,1,S,T,3 tallos que salen debajo del suelo,14.41,3.26,
CR_14_D_2003_42,2003,14,1,1,57,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.3,1.28,1.16,0.92,0.81,0.99,1.26,0.69,1.19,1.18,0.71,0.79,,,,,,,,,,,,,,1.28,0.69,11,0,0.2814425231,9.0061607397,312.5,1,R,T,,14.2,3.77,
CR_14_D_2003_44,2003,14,1,1,60,32,D,2,<1,Mimosa acantholoba var. eurycarpa,1,1.07,0.76,0.54,0.66,0.57,0.63,0.43,0.52,0.55,0.42,0.34,0.92,,,,,,,,,,,,,,0.92,0.34,11,0,0.0962799974,3.0809599154,312.5,1,R,T,,14.67,4.75,
