RUID,UID,Census,Set,SubSet,PlotCode,Plot,Tra,Qua,Crit,Sample,Tag,Species,PosX,PosY,Sup,Rep,F x R,# R,OBSERVACIONES,CAR,RecrYr,DeadYr,ExcYr,RincYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales,Historial de objeto
21060716,210607,2016,SecCan,NA,SC01,RIC,3,4,B,400,898,Mimosa acantholoba,1,19.5,1,0,,,,,,,,,7,4.4,3.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,11.9,111.220233918713,0.278050584796782,12.4407069082156,311.01767270539,25,0,0,1,,
21059116,210591,2016,SecCan,NA,SC01,RIC,3,4,B,400,887,Mimosa acantholoba,3,19.7,1,1,21,5,,,,,,,5.15,3.7,3.4,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,10.1,80.1184666481737,0.200296166620434,9.8803088955399,247.007722388497,25,0,0,1,,
21048516,210485,2016,SecCan,NA,SC01,RIC,4,2,A,400,878,Mimosa acantholoba,3.95,6.9,1,M,,,,,,,,,6.55,2.62,2.36,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.7,126.676869774374,0.316692174435936,4.8562739239191,121.406848097978,25,0,0,1,,
21046116,210461,2016,SecCan,NA,SC01,RIC,4,2,A,400,877,Mimosa acantholoba,3.55,7,1,0,,,,,2004,,,,3.3,2.46,0.77,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,35.2565235549115,0.088141308887279,1.48770120110745,37.1925300276862,25,0,0,1,,
21044716,210447,2016,SecCan,NA,SC01,RIC,4,2,A,400,880,Mimosa acantholoba,0.55,8.3,1,1,7,5,,,,,,,5.2,3.5,2.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.9,49.0166993776348,0.122541748444087,6.59734457253857,164.933614313464,25,0,0,1,,
21040916,210409,2016,SecCan,NA,SC01,RIC,4,3,B,200,874,Mimosa acantholoba,4.85,10.57,1,0,,,,,,,,,5.3,5.54,1.7,3.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.4,12.8805298797182,0.064402649398591,7.39687990287717,369.843995143858,50,0,0,2,DAP 2 reubicado,
21031716,210317,2016,SecCan,NA,SC01,RIC,4,3,B,200,869,Mimosa acantholoba,0.4,13.4,1,M,,,,,,,,,2.3,3.7,2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,5.7255526111674,0.028627763055837,5.81194640914112,290.597320457056,50,0,0,1,,
21018816,210188,2016,SecCan,NA,SC01,RIC,4,4,C,400,865,Mimosa acantholoba,1.35,16.17,1,M,,,,,,,,,6.2,5.1,2.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.7,46.5662571078347,0.116415642769587,9.61327351998477,240.331837999619,25,0,0,1,Fusionado con el individuo 210195 (tag 866),
21015716,210157,2016,SecCan,NA,SC01,RIC,4,4,C,400,862,Mimosa acantholoba,2.85,16.5,1,Excluído,,,,,,,,,4,5.7,1.6,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.2,30.1907054009979,0.075476763502495,7.16283125018473,179.070781254618,25,0,0,1,,
21012616,210126,2016,SecCan,NA,SC01,RIC,4,4,C,200,864,Mimosa acantholoba,2.5,17.5,1,M,,,,,,,,,3.1,4.1,1.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.3,14.5220120412188,0.072610060206094,5.47422519888021,273.711259944011,50,0,0,1,,
21005816,210058,2016,SecCan,NA,SC01,RIC,4,4,C,400,855,Mimosa acantholoba,1,18.7,1,M,,,,,,,,,4.8,2.9,2.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,78.5398163397448,0.196349540849362,5.6941366846315,142.353417115787,25,0,0,1,,
21001016,210010,2016,SecCan,NA,SC01,RIC,4,4,C,400,851,Mimosa acantholoba,5,19.5,1,1,15,2,"Era un individuo grande, se cayó y sus rebrotes eran reproductivos",,,,,,3.26,6.97,2.35,3.2,4.6,5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5,54.475216613247,0.136188041533118,12.8644292173685,321.610730434213,25,0,0,4,,
21199416,211994,2016,SecCan,NA,SC02,ISP,1,1,A,400,599,Mimosa acantholoba,2.15,2.5,1,M,,,,,,,,,7.2,6.2,5.3,7.4,11,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,13.5,281.18039647792,0.702950991194801,25.8081836492401,645.204591231004,25,0,0,3,"DAP 4 partido a la mitad, pero vivo",
21200716,212007,2016,SecCan,NA,SC02,ISP,1,2,B,400,600,Mimosa acantholoba,0.13,5.6,1,0,,,,,,,,,7.25,5.9,4.9,7.6,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,12.2,162.263260557913,0.405658151394782,22.7058609038202,567.646522595506,25,0,0,2,,
21202116,212021,2016,SecCan,NA,SC02,ISP,1,2,B,400,601,Mimosa acantholoba,1.05,7.08,1,M,,,,,,,,,6.96,4.1,3.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,44.1786466911065,0.110446616727766,12.2365033857322,305.912584643306,25,0,0,1,,
21205216,212052,2016,SecCan,NA,SC02,ISP,1,2,B,200,603,Mimosa acantholoba,0.95,9.05,1,M,,,,,,,2008,2012,3.6,1.2,1.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,6.15752160103599,0.03078760800518,1.31946891450771,65.9734457253856,50,0,0,1,,
21216816,212168,2016,SecCan,NA,SC02,ISP,1,3,C,400,610,Mimosa acantholoba,1.7,11.1,1,M,,,,,,,,,7.01,8.5,5,10.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.2,186.767683255913,0.466919208139783,33.3794219443916,834.485548609789,25,0,0,2,,
21230416,212304,2016,SecCan,NA,SC02,ISP,1,4,A,400,627,Mimosa acantholoba,3.5,15.3,1,M,,,,,2006,,,,6.6,4.7,3.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,12.6,124.689812420979,0.311724531052447,11.4432512407008,286.081281017521,25,0,0,1,,
21231116,212311,2016,SecCan,NA,SC02,ISP,1,4,A,ERR,634,Mimosa acantholoba,0.58,15.73,1,M,,,,,2013,,,,5.3,2.7,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.07068583470577,E.SAMPLE,3.60497756999429,E.SAMPLE,#VALUE!,#VALUE!,0,1,,
21234216,212342,2016,SecCan,NA,SC02,ISP,1,4,A,400,631,Mimosa acantholoba,2,18.4,1,0,,,,,,,,,6.37,6.1,4,8,5.1,5.9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,15,274.747985519695,0.686869963799238,19.1637151868977,479.092879672443,25,0,0,4,DAP 2 rebrotó,
21240316,212403,2016,SecCan,NA,SC02,ISP,2,1,C,400,636,Mimosa acantholoba,0.75,1.6,1,M,,,,,,,,,5,3.4,5,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.7,73.8981131940659,0.184745282985165,13.3517687777566,333.794219443916,25,0,0,1,,
21245816,212458,2016,SecCan,NA,SC02,ISP,2,1,C,400,643,Mimosa acantholoba,2,3,1,M,,,,,,,,,6,5.5,3.9,7.7,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,8.8,107.387490881333,0.268468727203333,16.8467906048753,421.169765121882,25,0,0,2,,
21251916,212519,2016,SecCan,NA,SC02,ISP,2,1,C,400,647,Mimosa acantholoba,3.66,4,1,M,,,,,,,,,3.87,1.7,1.1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.8,26.4207942166902,0.066051985541725,1.46869456555323,36.7173641388307,25,0,0,1,,
21256416,212564,2016,SecCan,NA,SC02,ISP,2,2,B,400,649,Mimosa acantholoba,1.5,6.6,1,1,110,3,,,,,,,6.92,3.4,3.4,10.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,10.8,134.617245206323,0.336543113015807,9.0792027688745,226.980069221863,25,0,0,2,,
21258816,212588,2016,SecCan,NA,SC02,ISP,2,2,B,200,652,Mimosa acantholoba,0.1,8.65,1,M,,,Dicen que es la misma que 651,,,,,,5.06,5.1,3.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,12.5663706143592,0.062831853071796,14.4199102799771,720.995513998857,50,0,0,1,DAP reubicado,
21259516,212595,2016,SecCan,NA,SC02,ISP,2,2,B,400,651,Mimosa acantholoba,0.4,8.65,1,M,,,Dicen que es la misma que 652,,,,,,6.8,4.2,3.2,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,67.9290871522453,0.169822717880613,10.5557513160617,263.893782901543,25,0,0,1,,
21260116,212601,2016,SecCan,NA,SC02,ISP,2,2,B,400,653,Mimosa acantholoba,2.8,8.8,1,1,4,3,,,,,,,6.6,3.6,4,8.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,8.2,70.9057461915216,0.177264365478804,11.3097335529233,282.743338823081,25,0,0,2,,
21261816,212618,2016,SecCan,NA,SC02,ISP,2,2,B,200,654,Mimosa acantholoba,2.2,9.5,1,M,,,,,,,,,4,2.6,1.08,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.3,14.5220120412188,0.072610060206094,2.20539804282003,110.269902141002,50,0,0,1,,
21262516,212625,2016,SecCan,NA,SC02,ISP,2,2,B,200,655,Mimosa acantholoba,4,9.74,1,M,,,,,2013,,,,3.5,2.5,1.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.9,6.60519855417254,0.033025992770863,3.53429173528852,176.714586764426,50,0,0,1,,
21266316,212663,2016,SecCan,NA,SC02,ISP,2,4,A,400,659,Mimosa acantholoba,2.97,16.6,1,1,92,9,,,2011,,,,6.11,4.5,3.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,47.7836242611008,0.119459060652752,10.9563043793944,273.90760948486,25,0,0,1,,
21274816,212748,2016,SecCan,NA,SC02,ISP,3,1,A,400,666,Mimosa acantholoba,2.92,0.78,1,M,,,,,,,,,6,3,1.6,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,9.9,76.9768739945839,0.19244218498646,3.76991118430775,94.2477796076938,25,0,0,1,,
21275516,212755,2016,SecCan,NA,SC02,ISP,3,1,A,400,667,Mimosa acantholoba,2.74,1.39,1,M,,,,,,,,,2.7,0.4,1.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.2,66.47610054996,0.1661902513749,0.408407044966673,10.2101761241668,25,0,0,1,,
21276216,212762,2016,SecCan,NA,SC02,ISP,3,1,A,400,668,Mimosa acantholoba,3.53,1.5,1,0,,,,,,,,,5.7,4.7,4,11.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,11.5,130.289701326003,0.325724253315007,14.765485471872,369.137136796801,25,0,0,2,,
21279316,212793,2016,SecCan,NA,SC02,ISP,3,1,A,400,669,Mimosa acantholoba,1.7,2.3,1,M,,,,,2008,,,,5.4,5,2.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,9.9,76.9768739945839,0.19244218498646,10.9955742875643,274.889357189107,25,0,0,1,,
21284716,212847,2016,SecCan,NA,SC02,ISP,3,1,A,400,671,Mimosa acantholoba,3.9,4.7,1,M,,,,,,,,,4.65,1.7,1.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.6,88.2473376393373,0.220618344098343,2.26980069221863,56.7450173054656,25,0,0,1,,
21290816,212908,2016,SecCan,NA,SC02,ISP,3,2,B,200,673,Mimosa acantholoba,3.45,9.37,1,M,,,,,,,,,2.8,5.2,2.8,4.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.5,21.2136043933651,0.106068021966825,11.4353972590668,571.769862953342,50,0,0,2,DAP 1 reubicado. Tronco principal muerto.,
21296016,212960,2016,SecCan,NA,SC02,ISP,3,3,A,400,678,Mimosa acantholoba,1.29,10,1,M,,,,,,,,,4.11,5.6,3.4,9.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,9.5,117.448441354454,0.293621103386136,14.9539810310874,373.849525777185,25,0,0,2,,
21299116,212991,2016,SecCan,NA,SC02,ISP,3,3,A,400,681,Mimosa acantholoba,0.74,14.54,1,M,,,,,,,,,4.48,5.1,5.3,7.3,10.9,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,10.9,212.143897915285,0.530359744788212,21.229312356633,530.732808915826,25,0,0,3,,
21303516,213035,2016,SecCan,NA,SC02,ISP,3,4,C,200,687,Mimosa acantholoba,1.71,16.19,1,M,,,,,,,,,3.5,1.6,1.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.7,5.7255526111674,0.028627763055837,2.01061929829747,100.530964914873,50,0,0,1,DAP reubicado,
21308016,213080,2016,SecCan,NA,SC02,ISP,3,4,C,400,688,Mimosa acantholoba,2.15,17.36,1,M,,,,,,,,,7.03,3.1,3.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.1,65.0388219109427,0.162597054777357,8.76504350351552,219.126087587888,25,0,0,1,,
21316516,213165,2016,SecCan,NA,SC02,ISP,4,1,B,400,692,Mimosa acantholoba,2.9,1.65,1,M,,,,,,,,,5.46,2.3,4.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.5,70.8821842466197,0.177205460616549,7.58694625841935,189.673656460484,25,0,0,1,DAP reubicado,
21317216,213172,2016,SecCan,NA,SC02,ISP,4,1,B,400,693,Mimosa acantholoba,3.45,2.3,1,1,20,2,,,,,,,6.42,4.9,5.4,14.5,6.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,14.5,208.209053116664,0.520522632791659,20.7816354034965,519.540885087412,25,0,0,3,,
21331816,213318,2016,SecCan,NA,SC02,ISP,4,2,C,400,700,Mimosa acantholoba,2.89,6.5,1,M,,,,,,,,,6.44,1.9,2.3,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.9,54.6794201357304,0.136698550339326,3.43218997404685,85.8047493511712,25,0,0,2,,
21336316,213363,2016,SecCan,NA,SC02,ISP,4,2,C,400,705,Mimosa acantholoba,1.3,7,1,M,,,,,,,,,6.9,1.77,1.15,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.5,70.8821842466197,0.177205460616549,1.59867796159551,39.9669490398876,25,0,0,1,,
21340016,213400,2016,SecCan,NA,SC02,ISP,4,2,C,400,701,Mimosa acantholoba,2.98,7.75,1,M,,,,,,,,,5.79,2.2,2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,47.7836242611008,0.119459060652752,3.45575191894877,86.3937979737193,25,0,0,1,,
21344816,213448,2016,SecCan,NA,SC02,ISP,4,3,A,400,710,Mimosa acantholoba,1.2,10.2,1,M,,,,,,,,,6.93,3.4,3.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.3,118.8228881404,0.297057220351,8.81216739331937,220.304184832984,25,0,0,1,,
21345516,213455,2016,SecCan,NA,SC02,ISP,4,3,A,400,711,Mimosa acantholoba,3.5,12.42,1,M,,,,,2011,,,,6.73,2.9,2.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.8,36.316811075498,0.090792027688745,5.23860574986098,130.965143746524,25,0,0,1,,
21347916,213479,2016,SecCan,NA,SC02,ISP,4,3,A,400,712,Mimosa acantholoba,1.43,14.95,1,M,,,,,,,,,4.14,2.9,4.3,8.2,5.5,9.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,9.2,186.052970927222,0.465132427318054,9.79391509756618,244.847877439154,25,0,0,4,DAP 1 reubicado,
21484116,214841,2016,SecCan,NA,SC03,SEP,1,1,A,400,182,Mimosa acantholoba,0.45,2.3,1,M,,,,,,,,,7.9,4.2,3.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,95.0331777710912,0.237582944427728,12.5349546878233,313.373867195582,25,0,0,1,,
21487216,214872,2016,SecCan,NA,SC03,SEP,1,1,A,400,185,Mimosa acantholoba,4.13,3.1,1,M,,,,,,,,,8.73,6.15,7.51,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,283.528736986479,0.708821842466197,36.2747922737562,906.869806843906,25,0,0,1,,
21498816,214988,2016,SecCan,NA,SC03,SEP,1,2,C,400,216,Mimosa acantholoba,4.34,6.3,1,M,,,,,,,,,7.85,4.3,7.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.7,89.9202357273738,0.224800589318435,23.9782059285241,599.455148213102,25,0,0,1,TAG = X024,
21518316,215183,2016,SecCan,NA,SC03,SEP,1,3,A,400,224,Mimosa acantholoba,2.34,10.65,1,M,,,,,,,,,3.56,6.1,1.6,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,8.8,60.8212337734984,0.152053084433746,7.66548607475909,191.637151868977,25,0,0,1,Inclinado,
21519016,215190,2016,SecCan,NA,SC03,SEP,1,3,A,400,279,Mimosa acantholoba,2.06,11.04,1,M,,,,,2004,,,,8.2,4.14,2.74,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.3,54.1060794764502,0.135265198691126,8.90924260631529,222.731065157882,25,0,0,1,,
21521316,215213,2016,SecCan,NA,SC03,SEP,1,3,A,400,225,Mimosa acantholoba,1.44,14.4,1,M,,,,,,,,,4.05,7.3,2.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,11.2,98.5203456165759,0.24630086404144,14.9068571412836,372.671428532089,25,0,0,1,,
21450616,214506,2016,SecCan,NA,SC03,SEP,2,1,B,400,120,Mimosa acantholoba,4.45,3.6,1,M,,,,,,,2010,2011,6.12,4.8,6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,47.7836242611008,0.119459060652752,22.6194671058465,565.486677646163,25,0,0,1,Inclinado,
21454416,214544,2016,SecCan,NA,SC03,SEP,2,2,A,400,129,Mimosa acantholoba,3.03,5.95,1,M,,,,,,,,,5.57,4.9,3.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.5,103.868907109313,0.259672267773281,13.0847334022015,327.118335055037,25,0,0,1,Inclinado,
21480316,214803,2016,SecCan,NA,SC03,SEP,2,4,A,400,152,Mimosa acantholoba,3.9,19.7,1,M,,,,,,,,,8.2,3.1,1.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.2,66.47610054996,0.1661902513749,4.38252175175776,109.563043793944,25,0,0,1,DAP 1 2015 es la CD 1 2015,
21361516,213615,2016,SecCan,NA,SC03,SEP,4,1,C,400,12,Mimosa acantholoba,4.95,2,1,M,,,,,,,,,8,3.8,2.8,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.7,107.513154587477,0.268782886468692,8.35663645854885,208.915911463721,25,0,0,1,,
21363916,213639,2016,SecCan,NA,SC03,SEP,4,1,C,400,3,Mimosa acantholoba,4.06,2.5,1,0,,,,,,,,,7.92,3.16,2.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,15.5,188.691908756237,0.471729771890592,6.20464549083984,155.116137270996,25,0,0,1,,
21372116,213721,2016,SecCan,NA,SC03,SEP,4,1,C,400,21,Mimosa acantholoba,4.95,4.4,1,0,,,,,,,,,7.57,2.7,3.34,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.6,45.3645979178366,0.113411494794592,7.08272063751819,177.068015937955,25,0,0,1,DAP 1 reubicado,
21390516,213905,2016,SecCan,NA,SC03,SEP,4,3,B,400,49,Mimosa acantholoba,0.1,11.75,1,M,,,,,,,,,7.81,7.8,4.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,15.2,181.458391671346,0.453645979178366,25.1170332654504,627.92583163626,25,0,0,1,Corregir DAP 2015 (15.0 cm),
21402516,214025,2016,SecCan,NA,SC03,SEP,4,3,B,400,61,Mimosa acantholoba,4.1,14.8,1,M,,,,,,,,,5,3.75,1.87,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.5,165.129963854314,0.412824909635784,5.50760462082461,137.690115520615,25,0,0,1,Copa muerta Se redujo 3 m.,
21407016,214070,2016,SecCan,NA,SC03,SEP,4,4,A,400,75,Mimosa acantholoba,3.6,18.45,1,M,,,,,,,,,7.12,3,3.2,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,10.1,80.1184666481737,0.200296166620434,7.5398223686155,188.495559215388,25,0,0,1,,
21556516,215565,2016,SecCan,NA,SC04,ABE,1,2,C,200,24,Mimosa acantholoba,4.6,7.7,1,,,,,,,,,,2.4,3.8,1.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.1,7.54767635024948,0.037738381751247,4.17831822927442,208.915911463721,50,0,0,1,,
21555816,215558,2016,SecCan,NA,SC04,ABE,1,2,C,400,23,Mimosa acantholoba,4.4,8.9,1,,,,,,,,,,5.52,4,4.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,38.484510006475,0.096211275016187,12.8805298797182,322.013246992954,25,0,0,1,,
