RUID,UID,Census,Set,SubSet,PlotCode,Plot,Tra,Qua,Crit,Sample,Tag,Species,PosX,PosY,Sup,Rep,FrutPerBranch,NumbBranch,AvrgSeeds,CAR,RecrYr,DeadYr,ExcYr,RincYr,Height,CovD1,CovD2,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23,DBH24,DBH25,DBH26,DBH27,DBH28,DBH29,DBH30,minDBH,maxDBH,Basal.cm2/plot,Basal.m2/ha,Cob.m2/plot,Cob.m2/ha,Dens.ha,Rec.ha,Mu.ha,Stems,Observaciones anuales,Historial de objeto,
21585503,215855,2003,SecCan,NA,SC04,ABE,2,1,C,200,55,Mimosa acantholoba,2.56,1.7,1,,,,,,,2016,,,3.8,2.8,3.3,2.65,2.55,3.25,3.2,2.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.25,360242502596,0.180121251,72570790298,3628539514896,50,0,0,6,ramif a 10 cm de base,,
21587903,215879,2003,SecCan,NA,SC04,ABE,2,1,C,200,57,Mimosa acantholoba,0.45,3,1,,,,,,,2011,,,3.55,3.5,3.2,2.2,2.55,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.2,169508558615,0.084754279,87964594301,4398229715026,50,0,0,3,ramif. desde base,,
21580003,215800,2003,SecCan,NA,SC04,ABE,2,1,C,200,50,Mimosa acantholoba,2.37,3.05,1,,,,,,,2011,,,4.4,1.4,2.4,2.45,2.55,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.55,123660940827,0.06183047,2638937829,1319468914508,50,0,0,3,ramif. 15 de base,,
21578703,215787,2003,SecCan,NA,SC04,ABE,2,1,C,200,48,Mimosa acantholoba,4.7,3.1,1,,,,,,,2011,,,3.77,3,2.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.8,123150432021,0.061575216,68329640216,3416482010779,50,0,0,2,1 tronco hasta 1.20,,
21573203,215732,2003,SecCan,NA,SC04,ABE,2,4,B,400,R11,Mimosa acantholoba,2.6,18.05,1,,,,,,,,,,5.45,3.4,2.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,196349540849,0.049087385,77440258911,1936006472775,25,0,0,1,tronco se ramifica hasta 1 mt alt. Era 47,,
21574903,215749,2003,SecCan,NA,SC04,ABE,2,4,B,200,39,Mimosa acantholoba,1.3,18.75,1,,,,,,,,,,3.6,3.7,5,3.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.4,232477856366,0.116238928,145298660229,7264933011426,50,0,0,2,ramif. desde base,,
21604303,216043,2003,SecCan,NA,SC04,ABE,3,1,B,400,92,Mimosa acantholoba,0.6,4.2,1,,,,,,,,,,5,3.9,3.5,3,5.85,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.85,446989729744,0.111747432,107206849304,2680171232594,25,0,0,3,,,
21595403,215954,2003,SecCan,NA,SC04,ABE,3,2,A,400,84,Mimosa acantholoba,2.93,5.1,1,,,,,,,,,,4.77,4.7,2.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1,2922466566,0.073061664,95975655567,2399391389179,25,0,0,1,,,
21593003,215930,2003,SecCan,NA,SC04,ABE,3,4,A,400,68,Mimosa acantholoba,4.15,17.5,1,,,,,,,,2016,,4.22,2.5,2.63,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,5.4,229022104447,0.057255526,51639929243,1290998231085,25,0,0,1,c/ tocon quemado,,
21610403,216104,2003,SecCan,NA,SC04,ABE,3,3,C,100,72,Mimosa acantholoba,2.94,11.95,1,,,,,,,2005,,,3.3,1.2,1,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.85,26880252142,0.026880252,0.942477796,942477796077,100,0,0,1,,,
21611103,216111,2003,SecCan,NA,SC04,ABE,3,3,C,200,73,Mimosa acantholoba,3.02,12,1,,,,,,,,,,4.24,3,3.4,3.85,4.25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.25,315533712145,0.157766856,80110612667,4005530633327,50,0,0,3,,,
21616603,216166,2003,SecCan,NA,SC04,ABE,3,3,C,400,78,Mimosa acantholoba,0.27,12.7,1,,,,,,,2013,,,3.71,3.3,4.5,5.1,3.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.1,408485584783,0.102121396,116631627265,2915790681613,25,0,0,3,,,
21618003,216180,2003,SecCan,NA,SC04,ABE,3,3,C,200,80,Mimosa acantholoba,1.85,13.64,1,,,,,,,,,,3.62,1.8,2.2,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,3.35,88141308887,0.044070654,31101767271,1555088363527,50,0,0,1,,,
21608103,216081,2003,SecCan,NA,SC04,ABE,3,3,C,200,70,Mimosa acantholoba,3.26,13.65,1,,,,,,,2005,,,2.05,6.3,1.53,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,49087385212,0.024543693,7570452897,3785226448494,50,0,0,1,,,
21609803,216098,2003,SecCan,NA,SC04,ABE,3,3,C,100,71,Mimosa acantholoba,3.3,13.91,1,,,,,,,2006,,,3.44,1.5,2,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.35,43373613574,0.043373614,23561944902,2356194490192,100,0,0,1,,,
21607403,216074,2003,SecCan,NA,SC04,ABE,3,3,C,100,69,Mimosa acantholoba,3.05,14.03,1,,,,,,,2007,,,3.44,1.7,2.8,2.35,1.6,1.5,2.2,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.35,158925318363,0.158925318,37384952578,3738495257772,100,0,0,5,c/ tocon quemado,,
21617303,216173,2003,SecCan,NA,SC04,ABE,3,3,C,400,79,Mimosa acantholoba,0.06,14.4,1,,,,,,,2012,,,4.15,2.9,4.4,5.35,5.3,5.25,2.55,1.55,3.1,3.35,,,,,,,,,,,,,,,,,,,,,,,,1.55,5.35,895452081044,0.22386302,10021680565,2505420141238,25,0,0,7,,,
21592303,215923,2003,SecCan,NA,SC04,ABE,3,4,A,400,67,Mimosa acantholoba,4.01,17.7,1,,,,,,,,,,4.54,4.5,2.9,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95,5.95,278050584797,0.069512646,102494460323,2562361508084,25,0,0,1,,,
21626503,216265,2003,SecCan,NA,SC04,ABE,4,1,A,400,119,Mimosa acantholoba,1.43,0.5,1,,,,,,,2015,,,4.1,3.7,3.5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.3,220618344098,0.055154586,10170906216,2542726553999,25,0,0,1,,,
21644903,216449,2003,SecCan,NA,SC04,ABE,4,2,B,200,118,Mimosa acantholoba,0.25,5.25,1,,,,,,,2014,,,5,2.9,4.1,3.9,3.25,3.5,2.5,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.9,407111137997,0.203555569,93383841628,4669192081398,50,0,0,5,,,
21640103,216401,2003,SecCan,NA,SC04,ABE,4,2,B,200,114,Mimosa acantholoba,2.4,5.65,1,,,,,,,2008,,,4.1,1.7,2.8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,82957681009,0.041478841,37384952578,1869247628886,50,0,0,1,,,
21639503,216395,2003,SecCan,NA,SC04,ABE,4,2,B,200,113,Mimosa acantholoba,0.86,5.9,1,,,,,,,2016,,,3.72,2.3,2,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3,119773219918,0.05988661,36128315516,1806415775814,50,0,0,2,,,
21641803,216418,2003,SecCan,NA,SC04,ABE,4,2,B,200,115,Mimosa acantholoba,2.89,5.95,1,,,,,,,2011,,,3.7,1.8,1,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,2.85,63793965822,0.031896983,14137166941,706858347058,50,0,0,1,,,
21638803,216388,2003,SecCan,NA,SC04,ABE,4,2,B,200,112,Mimosa acantholoba,0.7,6.4,1,,,,,,,2005,,,2.9,2.8,2.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,49087385212,0.024543693,48380526865,2419026343264,50,0,0,1,,,
21636403,216364,2003,SecCan,NA,SC04,ABE,4,2,B,200,110,Mimosa acantholoba,0.4,7.45,1,,,,,,,2005,,,3.6,2.6,1.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,125663706144,0.062831853,36756634047,183783170235,50,0,0,1,C/ 2 ramas medianas mtas (sombreado por tabebuia),,
21642503,216425,2003,SecCan,NA,SC04,ABE,4,2,B,200,116,Mimosa acantholoba,4.33,7.5,1,,,,,,,2010,,,3.85,2.12,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,70685834706,0.035342917,4162610266,2081305133003,50,0,0,1,,,
21650003,216500,2003,SecCan,NA,SC04,ABE,4,4,C,200,95,Mimosa acantholoba,3.6,15.15,1,,,,,,,2009,,,3.96,3.2,5,2.7,1.5,2.3,2.75,3.15,2.15,1.75,1.8,,,,,,,,,,,,,,,,,,,,,,,1.5,3.15,339606165853,0.169803083,125663706144,628318530718,50,0,0,8,,,
21654803,216548,2003,SecCan,NA,SC04,ABE,4,4,C,100,99,Mimosa acantholoba,3.57,15.92,1,,,,,,,2007,,,3.07,1.6,3.8,1.3,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1,55763269601,0.05576327,47752208335,4775220833456,100,0,0,3,,,
21653103,216531,2003,SecCan,NA,SC04,ABE,4,4,C,400,98,Mimosa acantholoba,0.13,16.6,1,,,,,,,,,,4.56,4.98,6.4,3.65,4.25,3.3,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,6.85,700555526796,0.175138882,250322102638,6258052565951,25,0,0,4,,,
21652403,216524,2003,SecCan,NA,SC04,ABE,4,4,C,200,97,Mimosa acantholoba,1.2,17.6,1,,,,,,,2015,2010,2012,3.57,3.9,3.45,2.85,2.75,2.25,2.7,2.5,2.1,2.7,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.85,361184980392,0.18059249,105675322885,5283766144256,50,0,0,7,,,
21649403,216494,2003,SecCan,NA,SC04,ABE,4,4,C,200,94,Mimosa acantholoba,4.99,18,1,,,,,,,,,,4.32,4,3.9,3.7,1.75,2.5,3.3,3.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,1.75,3.9,427197696026,0.213598848,12252211349,61261056745,50,0,0,6,,,
23525903,235259,2003,SecCan,NA,SC07,BES,1,1,A,400,1,Mimosa acantholoba,0.3,1.45,1,,,,,,,2007,,,5,4.38,4.26,5.8,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,5.8,480683310953,0.120170828,146545872512,36636468128,25,0,0,2,ramif desde base,,
23529703,235297,2003,SecCan,NA,SC07,BES,1,2,B,200,5,Mimosa acantholoba,2.3,6.9,1,,,,,,,2007,,,4.75,2.48,2.73,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,3.35,88141308887,0.044070654,53174597255,2658729862733,50,0,0,1,,,
23534103,235341,2003,SecCan,NA,SC07,BES,1,3,C,200,10,Mimosa acantholoba,4.8,12.5,1,,,,,,,,,,5.75,2.84,2.16,3.2,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,3.2,10180723693,0.050903619,48179464935,2408973246773,50,0,0,2,1 solo tronco,,
23540203,235402,2003,SecCan,NA,SC07,BES,1,3,C,400,16,Mimosa acantholoba,0.4,12.6,1,,,,,,,2005,,,4.1,2.62,2.44,1.6,1.65,1.5,3.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.1,33891894246,0.084729736,5020893379,1255223344742,25,0,0,5,crec. en clarito,,
23542603,235426,2003,SecCan,NA,SC07,BES,1,3,C,100,18,Mimosa acantholoba,2.7,13,1,,,,,,,2007,,,3.75,1.65,1.2,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.25,12271846303,0.012271846,15550883635,1555088363527,100,0,0,1,c/ hipomoea trepando,,
23541903,235419,2003,SecCan,NA,SC07,BES,1,3,C,100,17,Mimosa acantholoba,2.3,13.35,1,,,,,,,,,,4.3,1.89,1.55,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,34636059006,0.034636059,23008239197,2300823919673,100,0,0,1,crec entre ramas de arbol gde,,
23544003,235440,2003,SecCan,NA,SC07,BES,1,3,C,200,20,Mimosa acantholoba,3,14.8,1,,,,,,,2010,,,4.7,2.09,2.54,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,80424771932,0.040212386,41693646902,2084682345106,50,0,0,1,c/ ramas bajas mtas,,
23555603,235556,2003,SecCan,NA,SC07,BES,2,3,B,200,59,Mimosa acantholoba,2.1,11.2,1,,,,,,,2010,,,3.12,3.35,4.15,2.7,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.35,205872493581,0.102936247,109189979666,5459498983317,50,0,0,2,ramif. desde base,,
23556303,235563,2003,SecCan,NA,SC07,BES,2,3,B,200,60,Mimosa acantholoba,0.65,12.3,1,,,,,,,,,,4.62,2.24,1.68,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,80424771932,0.040212386,29556103685,1477805184249,50,0,0,1,c/ rebrote chico 10 cm sobre la base,,
23557003,235570,2003,SecCan,NA,SC07,BES,2,3,B,400,61,Mimosa acantholoba,2.9,12.4,1,,,,,,,,,,4.62,3.15,2.95,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.6,246300864041,0.061575216,72983124334,1824578108343,25,0,0,1,1 tronco,,
23558703,235587,2003,SecCan,NA,SC07,BES,2,3,B,200,62,Lysiloma divaricatum,0.97,13.9,1,,,,,,,,,,3.24,2.5,2.27,3.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.3,134617245206,0.067308623,44571345773,222856728864,50,0,0,2,parece haber un toconcito quemado en medio,,
23559403,235594,2003,SecCan,NA,SC07,BES,2,3,B,400,63,Lysiloma divaricatum,1.38,14.94,1,,,,,,,,,,6.75,5.23,3.81,2.55,2,2.4,4.8,2.8,7.65,7.15,8.55,5.3,3,4.65,2,3.9,2.3,,,,,,,,,,,,,,,,,2,8.55,2459101284552,0.614775321,156500794233,3912519855827,25,0,0,14,c/ tocon gde quemado,,
23554903,235549,2003,SecCan,NA,SC07,BES,2,4,C,200,58,Mimosa acantholoba,2.3,15.28,1,,,,,,,2005,,,4.3,2.02,2.29,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,3.45,93482016398,0.046741008,36330948242,1816547412122,50,0,0,1,c/ ramas mtas. 1 tronco crec de lado,,
23563103,235631,2003,SecCan,NA,SC07,BES,2,4,C,100,67,Mimosa acantholoba,0.5,15.9,1,,,,,,,2005,,,3,1.34,1.32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,31415926536,0.031415927,13892122714,1389212271417,100,0,0,1,,,
23566203,235662,2003,SecCan,NA,SC07,BES,2,4,C,200,70,Mimosa acantholoba,0.4,17.62,1,,,,,,,,,,4.02,1.6,2.35,2.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.8,170667020906,0.085333511,29530970944,1476548547187,50,0,0,2,ramif desde la base. ambos tallos del mismo tamaño,,
23569303,235693,2003,SecCan,NA,SC07,BES,2,4,C,400,73,Mimosa acantholoba,2.34,18.3,1,,,,,,,2005,,,4.85,4.05,2.8,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.7,255175863288,0.063793966,89064151729,2226603793232,25,0,0,1,1 solo tronco,,
23575403,235754,2003,SecCan,NA,SC07,BES,2,4,C,200,79,Mimosa acantholoba,2.89,19.1,1,,,,,,,,,,3.25,3.6,2.7,3.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.4,265464579228,0.13273229,76340701482,3817035074112,50,0,0,2,1 solo tronco,,
23564803,235648,2003,SecCan,NA,SC07,BES,2,4,C,200,68,Mimosa acantholoba,1.3,19.73,1,,,,,,,2005,,,4,2.92,2.42,2.4,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.75,155685550939,0.077842776,55499375818,2774968790916,50,0,0,2,2 tallos desde la base,,
23571603,235716,2003,SecCan,NA,SC07,BES,2,4,C,200,75,Mimosa acantholoba,0.5,19.9,1,,,,,,,2007,,,3.95,2.25,2.32,3.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,176321887683,0.088160944,40997784129,2049889206467,50,0,0,2,ramas bajas mtas. 1 solo tronco,,
23577803,235778,2003,SecCan,NA,SC07,BES,3,1,A,400,83,Mimosa acantholoba,3.82,1.87,1,,,,,,,2007,,,5.15,2.62,3.35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,196349540849,0.049087385,68934396801,1723359920035,25,0,0,1,1 tronco,,
23580803,235808,2003,SecCan,NA,SC07,BES,3,1,A,400,86,Lysiloma divaricatum,4.5,4.12,1,,,,,,,,,,5.4,5.8,5.37,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,1227184630309,0.306796158,244620111972,6115502799294,25,0,0,1,,,
23586003,235860,2003,SecCan,NA,SC07,BES,3,2,C,100,92,Mimosa acantholoba,4.85,5.76,1,,,,,,,,,,2.96,3.8,3.4,1.7,1.8,1.9,2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.3,149461270495,0.149461271,101473442711,10147344271095,100,0,0,5,crec de lado. con varias ramas verticales,,
23587703,235877,2003,SecCan,NA,SC07,BES,3,2,C,200,93,Mimosa acantholoba,3.77,7,1,,,,,,,,,,4.25,1.29,1.47,1.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3,961327352,0.048066368,14893505373,744675268625,50,0,0,2,1 tronco ramif 30 cm,,
23588403,235884,2003,SecCan,NA,SC07,BES,3,2,C,400,94,Mimosa acantholoba,3.86,7.65,1,,,,,,,,,,4.96,4.44,3.49,5.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.6,384845100065,0.096211275,121702157807,3042553945185,25,0,0,2,ramif desde base,,
23597603,235976,2003,SecCan,NA,SC07,BES,3,2,C,400,103,Mimosa acantholoba,2.2,7.83,1,,,,,,,,,,3.94,5.58,3.7,2.7,1.7,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,6.2,381860587044,0.095465147,162153304815,4053832620376,25,0,0,3,crec ladeado,,
23589103,235891,2003,SecCan,NA,SC07,BES,3,2,C,100,95,Mimosa acantholoba,4.85,7.95,1,,,,,,,2006,,,3.35,1.94,1.28,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,22698006922,0.022698007,19503007193,1950300719349,100,0,0,1,,,
23592103,235921,2003,SecCan,NA,SC07,BES,3,2,C,200,98,Mimosa acantholoba,4.25,8.19,1,,,,,,,2006,,,3.48,3.95,3.5,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4,174751091356,0.087375546,10858129609,5429064804485,50,0,0,2,1 tronco crec medio ladeado,,
